Wood_Type,Replicate_No,Mass_Before,Mass_After,Percent_Increase,Average_Per_Type
Cherry,2,27,33,22.22222222,23.41111111
Cherry,3,25,31,24,
Cherry,4,26,33,26.92307692,
Cherry,5,26,32,23.07692308,
Walnut,2,30,37,23.33333333,22.21370546
Walnut,3,31,37,19.35483871,
Walnut,4,29,36,24.13793103,
Walnut,5,33,41,24.24242424,
Ash,2,26,35,34.61538462,28.96827319
Ash,3,29,36,24.13793103,
Ash,4,25,33,32,
Ash,5,27,36,33.33333333,
White Birch,2,38,51,34.21052632,33.69285827
White Birch,3,37,50,35.13513514,
White Birch,4,38,50,31.57894737,
White Birch,5,36,49,36.11111111,
Pine,2,29,34,17.24137931,19.26736418
Pine,3,28,34,21.42857143,
Pine,4,27,32,18.51851852,
Pine,5,26,32,23.07692308,
